event,flag,grp,dev_only,eval_only,both,z_eval_excess
pf_squeeze_3rd_Yin,dirtop_G10,tight,4,3,0,-0.38
pf_squeeze_3rd_Yin,dirtop_G16,sym,1,0,0,-1.0
pf_squeeze_3rd_Yin,dirtop_G16,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,dirtop_G25,sym,0,0,0,0.0
pf_squeeze_3rd_Yin,dirtop_G25,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,symtop_G3,sym,19,16,0,-0.51
pf_squeeze_3rd_Yin,symtop_G3,tight,3,2,0,-0.45
pf_squeeze_3rd_Yin,symtop_G6,sym,0,1,0,1.0
pf_squeeze_3rd_Yin,symtop_G6,tight,0,1,0,1.0
pf_squeeze_3rd_Yin,symtop_G10,sym,0,0,0,0.0
pf_squeeze_3rd_Yin,symtop_G10,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,gmax_16,sym,1,0,0,-1.0
pf_squeeze_3rd_Yin,gmax_16,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,gmax_25,sym,0,0,0,0.0
pf_squeeze_3rd_Yin,gmax_25,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,gmax_40,sym,0,0,0,0.0
pf_squeeze_3rd_Yin,gmax_40,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,deficit_10,sym,1,2,0,0.58
pf_squeeze_3rd_Yin,deficit_10,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,deficit_16,sym,0,0,0,0.0
pf_squeeze_3rd_Yin,deficit_16,tight,0,0,0,0.0
pf_squeeze_3rd_Yin,deficit_25,sym,0,0,0,0.0
pf_squeeze_3rd_Yin,deficit_25,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G6,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G6,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G10,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G10,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G16,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G16,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G25,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G25,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,symtop_G3,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,symtop_G3,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,symtop_G6,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,symtop_G6,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,symtop_G10,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,symtop_G10,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,gmax_16,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,gmax_16,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,gmax_25,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,gmax_25,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,gmax_40,sym,0,0,0,0.0
pf_fold_3rd_Ybehind,gmax_40,tight,0,0,0,0.0
pf_fold_3rd_Ybehind,deficit_10,sym,2,1,0,-0.58
pf_fold_3rd_Ybehind,deficit_10,tight,0,0,0,0.0
